id,pillar,fact,hook_angle,source,status,sensitivity_flag,notes
1,history,"European explorers first landed in what's now San Diego Bay in 1542, led by Juan Rodríguez Cabrillo — making it the first place on the West Coast of the present-day US to be visited by a European sea expedition.","San Diego was 'discovered' by Europeans before almost anywhere else on the West Coast.",San Diego History Center / Cabrillo National Monument (NPS),verified,none,"Widely documented, low risk of error. Cross-check exact NPS phrasing before final script."
2,history,"San Diego is often called the 'Birthplace of California' because the first Spanish mission in California (Mission San Diego de Alcalá) was founded here in 1769 by Junípero Serra.","Every other California mission traces back to this one spot.",San Diego History Center,verified,none,"Serra's legacy is a sensitive topic for some communities — keep framing factual/historical, not celebratory."
3,history,"The Kumeyaay people have lived in the San Diego region for at least 10,000 years, long before any European contact.","The land's real history starts thousands of years earlier than most people think.",San Diego History Center / Kumeyaay Community College,researching,handle-with-care,"Prefer sourcing tied directly to Kumeyaay cultural orgs where possible per docs/05. Verify exact year range before publishing."
4,history,"Balboa Park was built out for the 1915-1916 Panama-California Exposition — most of its Spanish Colonial Revival buildings were meant to be temporary.","The park's most iconic buildings were never supposed to last this long.",Balboa Park Conservancy,verified,none,"Strong 'then vs now' visual angle."
5,history,"The San Diego Zoo grew out of leftover exotic animals from the 1915 Panama-California Exposition.","A world's-fair afterthought became one of the most famous zoos on Earth.",San Diego History Center,verified,none,"Good hook: contradiction/surprise pattern."
6,history,"Downtown San Diego's Gaslamp Quarter was originally developed by Alonzo Horton in the 1860s-80s as 'New Town,' meant to pull the city center away from Old Town.","Downtown San Diego almost wasn't downtown at all.",San Diego History Center,verified,none,none
7,history,"Old Point Loma Lighthouse, built in 1855, was retired in 1891 because it sat too high on the point — fog and low clouds often hid its light from ships below.","San Diego's first lighthouse was in the wrong place from the start.",Cabrillo National Monument (NPS),verified,none,none
8,history,"PSA Flight 182 collided with a small plane over North Park in 1978 — one of the deadliest aviation disasters in U.S. history at the time.","A tragic piece of San Diego history that reshaped aviation safety rules.",San Diego Union-Tribune archives,researching,handle-with-care,"Sensitive tragedy content — factual, respectful tone only, no dramatized imagery, per docs/05. Verify exact casualty figures against NTSB report before scripting."
9,nature,"Torrey Pines State Natural Reserve is one of only two places on Earth where the Torrey pine grows wild — the other is a small stretch of Santa Rosa Island.","San Diego has one of the rarest pine trees on the planet growing right on its coastline.",Torrey Pines State Natural Reserve / CA State Parks,verified,none,"Great visual pillar — striking coastal bluffs."
10,nature,"San Diego County has more than 70 miles of coastline and dramatically different microclimates within just a few miles inland — from fog-cooled beaches to desert.","You can go from beach fog to desert heat in under an hour.",National Weather Service San Diego / SDSU climate data,researching,none,"Verify exact mileage figure before publishing — numbers like this get cited inconsistently across sources."
11,nature,"The La Jolla submarine canyon plunges more than 3,000 feet deep just off the coast — one reason La Jolla's waters are so rich with marine life.",A massive underwater canyon sits just offshore from one of San Diego's most popular beaches.,Scripps Institution of Oceanography,researching,none,"Verify exact depth figure against Scripps publications."
12,nature,"Anza-Borrego Desert State Park, in San Diego County, is the largest state park in California.","San Diego County contains California's single biggest state park — and it's a desert.",California State Parks,verified,none,none
13,nature,"Cabrillo National Monument's tide pools are one of the most accessible places on the West Coast to see sea anemones, octopuses, and starfish up close at low tide.","You don't need a boat to see an octopus in the wild in San Diego.",National Park Service,verified,none,"Good for a seasonal/tide-schedule content tie-in."
14,hidden-gems,"The Sunny Jim Sea Cave in La Jolla is the only sea cave in California you can walk down into — through a hand-dug tunnel opened in 1903.","There's a real pirate-smuggler-era tunnel you can still walk into in La Jolla.",Cave Store La Jolla / San Diego History Center,verified,none,"Strong visual hook; verify current public-access status before publishing (ownership/hours can change)."
15,hidden-gems,"The Spruce Street Suspension Bridge in Bankers Hill is a 1912 pedestrian suspension bridge hidden in a residential neighborhood, built as a walking shortcut over a canyon.","There's a swaying suspension bridge tucked between two ordinary streets.",San Diego History Center,verified,none,none
16,hidden-gems,"Mormon Battalion members built one of San Diego's first brick buildings and dug the city's first wells after arriving in 1847 near the end of a legendary cross-country march.","A group that marched nearly 2,000 miles helped build early San Diego's water supply.",Mormon Battalion Historic Site,researching,none,"Verify exact mileage figure and building claim before scripting."
17,hidden-gems,"Presidio Park sits on the site of California's first Spanish military fort and the original Mission San Diego de Alcalá location, before the mission moved a few miles east.","The literal birthplace-within-the-birthplace of California is a quiet public park today.",San Diego History Center,verified,none,"Pairs well with fact #1 and #2 as a mini-series."
18,food,"San Diego is widely credited as the birthplace of the California burrito — carne asada, fries, cheese, and guacamole rolled into one — starting from taco shops near SDSU in the 1980s-90s.","One of California's most iconic burritos was actually invented in San Diego, not LA.",Local food history reporting (San Diego Union-Tribune / Eater San Diego),researching,none,"Origin is genuinely debated between a few taco shops — script should say 'credited with' / 'as the story goes,' not state it as settled fact, per docs/05 phrasing discipline."
19,food,"San Diego has more craft breweries per capita than almost any other major U.S. city, earning it the nickname 'Craft Beer Capital of America' among industry groups.","San Diego's nickname isn't just 'America's Finest City' — beer people call it something else entirely.",Brewers Association / San Diego Brewers Guild,researching,none,"Verify current per-capita ranking claim — these rankings shift year to year, don't cite a stale number as current."
20,food,"The fish taco has been a San Diego staple for decades, popularized locally well before it spread nationally as a mainstream menu item.","A food court staple everywhere today started as a San Diego thing.",Local food history reporting,researching,none,"Avoid overly specific 'invented here' claim — fish tacos have disputed Baja/San Diego shared origin; frame as 'popularized,' not 'invented.'"
